rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
1,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.8110,0,0,0,0
2,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0000,0,1,0,0
3,10748390,K00003.01,Kepler-3 b,CONFIRMED,CANDIDATE,0.9130,0,0,0,0
4,3861595,K00004.01,,CANDIDATE,CANDIDATE,1.0000,0,1,0,0
5,8554498,K00005.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
7,11853905,K00007.01,Kepler-4 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
10,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.9980,0,0,0,0
12,5812701,K00012.01,Kepler-448 b,CONFIRMED,CANDIDATE,0.6350,0,0,0,0
13,9941662,K00013.01,Kepler-13 b,CONFIRMED,CANDIDATE,0.8750,0,1,0,0
17,10874614,K00017.01,Kepler-6 b,CONFIRMED,CANDIDATE,0.9870,0,0,0,0
18,8191672,K00018.01,Kepler-5 b,CONFIRMED,CANDIDATE,0.7540,0,1,0,0
20,11804465,K00020.01,Kepler-12 b,CONFIRMED,CANDIDATE,0.7610,0,0,0,0
22,9631995,K00022.01,Kepler-422 b,CONFIRMED,CANDIDATE,0.9880,0,0,0,0
31,6521045,K00041.01,Kepler-100 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
32,6521045,K00041.02,Kepler-100 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
33,6521045,K00041.03,Kepler-100 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
34,8866102,K00042.01,Kepler-410 A b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
38,10905239,K00046.01,Kepler-101 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
39,10905239,K00046.02,Kepler-101 c,CONFIRMED,CANDIDATE,0.9170,0,0,0,0
41,9527334,K00049.01,Kepler-461 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
46,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
47,7051180,K00064.01,,CANDIDATE,CANDIDATE,1.0000,0,1,0,0
50,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
51,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
52,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
53,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,0.5630,0,0,0,0
54,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,0.9990,0,0,0,0
55,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,0.9630,0,0,0,0
57,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,0.9820,0,0,0,0
59,7199397,K00075.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
63,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
64,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
65,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
66,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
67,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
68,10187017,K00082.06,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0
69,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
70,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
71,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
72,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
73,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,0.8810,0,0,0,0
75,8056665,K00089.01,Kepler-462 b,CONFIRMED,CANDIDATE,0.8810,0,0,0,0
76,8056665,K00089.02,,CANDIDATE,CANDIDATE,0.9970,0,0,0,0
78,7941200,K00092.01,,CANDIDATE,CANDIDATE,0.9720,0,0,0,0
79,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,0.9940,0,0,0,0
80,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0
