rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
6,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
8,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
9,11553706,K00009.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
11,11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
14,7684873,K00014.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
15,3964562,K00015.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
16,9110357,K00016.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
19,7255336,K00019.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
21,10125352,K00021.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
23,9071386,K00023.01,,FALSE POSITIVE,FALSE POSITIVE,0.2690,0,1,0,0
24,4743513,K00024.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
25,10593759,K00025.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
26,5021737,K00026.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
27,3832716,K00027.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0
28,4247791,K00028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
29,6956014,K00031.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
30,5725087,K00033.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
35,9025922,K00043.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
36,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
37,3742855,K00045.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
40,7837302,K00048.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
42,6056992,K00051.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
43,3558981,K00052.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
44,2445975,K00053.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
